City,State,E,N,A,C,O
Boca Raton,Florida,0.05,-0.01,0.07,0.01,0.07
Boerne,Texas,0.04,-0.04,0.07,-0.04,-0.01
Bogalusa,Louisiana,-0.02,0.0,-0.0,0.04,-0.04
Boiling Springs,South Carolina,-0.01,0.04,0.08,0.02,-0.02
Boise,Idaho,-0.03,-0.04,0.17,0.02,0.04
Bolingbrook,Illinois,-0.09,0.11,-0.06,-0.07,-0.07
Bolivar,Missouri,-0.01,0.03,-0.01,-0.01,-0.05
Bonner Springs,Kansas,-0.01,0.01,0.02,0.0,-0.09
Bonney Lake,Washington,0.03,-0.03,0.13,0.03,0.01
Boone,Iowa,0.0,0.02,-0.02,-0.0,-0.06
Boone,North Carolina,0.01,-0.0,0.1,-0.01,0.02
Booneville,Mississippi,-0.01,0.03,0.03,-0.03,-0.05
Bordentown,New Jersey,0.0,0.04,-0.04,-0.0,-0.03
Borger,Texas,0.05,-0.0,0.03,-0.01,-0.03
Bossier City,Louisiana,0.02,0.04,0.05,0.01,-0.1
Boston,Massachusetts,0.09,-0.07,-0.11,0.02,0.12
Bothell,Washington,-0.0,-0.01,0.08,0.04,-0.08
Boulder City,Nevada,-0.02,-0.01,0.02,0.02,-0.01
Boulder,Colorado,0.01,-0.04,0.04,-0.04,0.16
Bountiful,Utah,0.02,-0.01,0.1,0.05,0.01
Bourbonnais,Illinois,-0.04,0.03,0.03,0.0,-0.1
Bowie,Maryland,0.04,-0.03,-0.04,-0.05,0.05
Bowling Green,Kentucky,0.03,-0.03,0.01,0.07,0.01
Bowling Green,Ohio,0.01,0.04,0.02,-0.0,0.02
Boyertown,Pennsylvania,-0.02,0.04,-0.05,-0.02,-0.07
Boynton Beach,Florida,-0.01,-0.03,-0.0,-0.01,0.03
Bozeman,Montana,-0.02,-0.05,0.06,-0.0,0.04
Bradenton,Florida,0.05,0.02,0.02,-0.05,-0.02
Bradford,Pennsylvania,-0.02,0.08,-0.04,-0.01,-0.0
Bradley,Illinois,0.02,-0.05,0.04,-0.0,0.05
Brainerd,Minnesota,-0.03,0.07,0.04,-0.02,-0.01
Braintree,Massachusetts,-0.02,0.07,-0.03,-0.03,-0.03
Brandon,Florida,-0.01,0.06,-0.02,0.02,0.06
Brandon,Mississippi,-0.03,0.09,0.02,0.01,-0.11
Brandon,South Dakota,0.0,-0.01,0.05,-0.02,-0.06
Branford,Connecticut,0.0,-0.01,0.04,0.01,-0.01
Branson,Missouri,0.0,0.01,0.07,-0.01,0.01
Brattleboro,Vermont,-0.04,0.0,0.04,0.0,0.06
Brawley,California,0.01,-0.02,0.02,0.02,-0.05
Brazil,Indiana,0.01,0.0,0.04,0.04,-0.08
Brea,California,0.06,-0.09,0.06,0.0,0.01
Breaux Bridge,Louisiana,0.04,0.03,0.05,-0.03,-0.04
Brecksville,Ohio,-0.0,0.0,-0.01,0.04,-0.02
Bremerton,Washington,-0.06,0.02,0.08,-0.08,0.03
Brenham,Texas,0.01,0.01,0.07,0.04,-0.02
Brentwood,California,0.04,-0.01,0.04,0.01,-0.01
Brentwood,New York,0.03,-0.04,-0.06,-0.03,0.01
Brentwood,Tennessee,-0.01,-0.01,0.1,-0.02,-0.06
Brevard,North Carolina,-0.04,0.02,0.01,0.02,0.06
Brewster,New York,0.03,0.01,-0.01,-0.01,0.04
Brewton,Alabama,0.01,0.02,-0.0,-0.02,0.01
Brick Township,New Jersey,0.0,0.12,-0.06,-0.04,-0.06
Bricktown,New Jersey,0.0,0.07,0.0,-0.02,0.01
Bridge City,Texas,-0.02,0.03,0.05,-0.01,-0.06
Bridgeport,Connecticut,0.04,-0.05,-0.05,-0.04,0.04
Bridgeton,New Jersey,0.03,-0.05,0.05,0.04,0.01
Bridgewater,Massachusetts,0.03,0.0,0.01,-0.0,-0.01
Bridgewater,New Jersey,0.01,-0.04,0.02,-0.03,-0.12
Brier,Washington,-0.0,-0.01,0.06,0.01,-0.0
Brigham City,Utah,-0.02,-0.0,0.06,0.01,-0.03
Brighton,Colorado,-0.0,-0.0,-0.01,-0.01,-0.0
Brighton,Michigan,-0.02,0.06,0.02,0.0,-0.11
Bristol,Connecticut,-0.02,0.12,-0.06,0.0,-0.11
Bristol,Pennsylvania,-0.05,0.05,-0.06,-0.04,-0.04
Bristol,Rhode Island,-0.01,0.04,0.04,0.01,-0.03
Bristol,Tennessee,-0.02,0.03,0.07,0.02,-0.04
Bristol,Virginia,0.01,0.03,0.05,0.02,-0.06
Brockport,New York,-0.04,0.03,0.02,-0.01,-0.04
Brockton,Massachusetts,-0.03,0.04,-0.05,-0.02,0.01
Broken Arrow,Oklahoma,0.0,-0.01,0.09,-0.03,-0.05
Bronx,New York,0.05,-0.04,-0.27,-0.03,0.13
Brook Park,Ohio,0.03,0.01,0.03,0.01,-0.07
Brookfield,Connecticut,-0.02,0.03,-0.02,-0.03,0.01
Brookfield,Illinois,-0.03,0.03,0.06,-0.02,0.1
